Protein_ID,Type,Method,Count
1by1,prot,NMR,1
1by6,prot,NMR,1
1bym,prot,NMR,1
1byn,prot,NMR,1
1byv,prot,NMR,1
1byy,prot,NMR,1
1bzb,prot,NMR,1
1bzf,prot,NMR,1
1bzg,prot,NMR,1
1bzk,prot,NMR,1
1bzv,prot,NMR,1
1c01,prot,NMR,1
1c05,prot,NMR,1
1c06,prot,NMR,1
1c07,prot,NMR,1
1c0v,prot,NMR,1
1c15,prot,NMR,1
1c17,prot,NMR,1
1c20,prot,NMR,1
1c2n,prot,NMR,1
1c2u,prot,NMR,1
1c3t,prot,NMR,1
1c3y,prot,NMR,1
1c3z,prot,NMR,1
1c49,prot,NMR,1
1c4b,prot,NMR,1
1c4e,prot,NMR,1
1c54,prot,NMR,1
1c55,prot,NMR,1
1c56,prot,NMR,1
1c5a,prot,NMR,1
1c6s,prot,NMR,1
1c6w,prot,NMR,1
1c7m,prot,NMR,1
1c7v,prot,NMR,1
1c7w,prot,NMR,1
1c89,prot,NMR,1
1c8a,prot,NMR,1
1c8p,prot,NMR,1
1c98,prot,NMR,1
1c99,prot,NMR,1
1c9a,prot,NMR,1
1c9f,prot,NMR,1
1c9q,prot,NMR,1
1cb1,prot,NMR,1
1cb3,prot,NMR,1
1cb9,prot,NMR,1
1cbh,prot,NMR,1
1ccf,prot,NMR,1
1cch,prot,NMR,1
1ccm,prot,NMR,1
1ccn,prot,NMR,1
1ccq,prot,NMR,1
1ccv,prot,NMR,1
1cdb,prot,NMR,1
1cdn,prot,NMR,1
1cdq,prot,NMR,1
1cdr,prot,NMR,1
1cds,prot,NMR,1
1ce3,prot,NMR,1
1ce4,prot,NMR,1
1ced,prot,NMR,1
1cee,prot,NMR,1
1cej,prot,NMR,1
1cek,prot,NMR,1
1ceu,prot,NMR,1
1cey,prot,NMR,1
1cf4,prot,NMR,1
1cfa,prot,NMR,1
1cfc,prot,NMR,1
1cfd,prot,NMR,1
1cfe,prot,NMR,1
1cff,prot,NMR,1
1cfg,prot,NMR,1
1cfh,prot,NMR,1
1cfi,prot,NMR,1
1cfp,prot,NMR,1
1cg7,prot,NMR,1
1chc,prot,NMR,1
1chl,prot,NMR,1
1chv,prot,NMR,1
1ci5,prot,NMR,1
1cir,prot,NMR,1
1cis,prot,NMR,1
1cix,prot,NMR,1
1cj5,prot,NMR,1
1ck2,prot,NMR,1
1ckk,prot,NMR,1
1ckr,prot,NMR,1
1ckv,prot,NMR,1
1ckw,prot,NMR,1
1ckx,prot,NMR,1
1cky,prot,NMR,1
1ckz,prot,NMR,1
1cl3,prot,NMR,1
1cl4,prot,NMR,1
1clb,prot,NMR,1
1cld,prot,NMR,1
1clf,prot,NMR,1
1clh,prot,NMR,1
1cmf,prot,NMR,1
1cmg,prot,NMR,1
1cmo,prot,NMR,1
1cmr,prot,NMR,1
1cmz,prot,NMR,1
1cn2,prot,NMR,1
1cn7,prot,NMR,1
1cnl,prot,NMR,1
1cnn,prot,NMR,1
1cnp,prot,NMR,1
1co1,prot,NMR,1
1co4,prot,NMR,1
1cod,prot,NMR,1
1coe,prot,NMR,1
1cok,prot,NMR,1
1coo,prot,NMR,1
1cop,prot,NMR,1
1cor,prot,NMR,1
1cou,prot,NMR,1
1cpz,prot,NMR,1
1cq0,prot,NMR,1
1cqg,prot,NMR,1
1cqh,prot,NMR,1
1cqu,prot,NMR,1
1cr8,prot,NMR,1
1cre,prot,NMR,1
1crf,prot,NMR,1
1crp,prot,NMR,1
1crq,prot,NMR,1
1crr,prot,NMR,1
1cs9,prot,NMR,1
1csa,prot,NMR,1
1csy,prot,NMR,1
1csz,prot,NMR,1
1ct6,prot,NMR,1
1cta,prot,NMR,1
1ctd,prot,NMR,1
1cti,prot,NMR,1
1ctl,prot,NMR,1
1cto,prot,NMR,1
1cur,prot,NMR,1
1cv9,prot,NMR,1
1cvo,prot,NMR,1
1cvq,prot,NMR,1
1cw5,prot,NMR,1
1cw6,prot,NMR,1
1cw8,prot,NMR,1
1cww,prot,NMR,1
1cwx,prot,NMR,1
1cwz,prot,NMR,1
1cx1,prot,NMR,1
1cxn,prot,NMR,1
1cxo,prot,NMR,1
1cxr,prot,NMR,1
1cxw,prot,NMR,1
1cxx,prot,NMR,1
1cya,prot,NMR,1
1cyb,prot,NMR,1
1cye,prot,NMR,1
1cyl,prot,NMR,1
1cyu,prot,NMR,1
1cyv,prot,NMR,1
1cz2,prot,NMR,1
1cz4,prot,NMR,1
1cz5,prot,NMR,1
1cz6,prot,NMR,1
1d0r,prot,NMR,1
1d0w,prot,NMR,1
1d1d,prot,NMR,1
1d1e,prot,NMR,1
1d1f,prot,NMR,1
1d1h,prot,NMR,1
1d1n,prot,NMR,1
1d1o,prot,NMR,1
1d1r,prot,NMR,1
1d2b,prot,NMR,1
1d2d,prot,NMR,1
1d2j,prot,NMR,1
1d2l,prot,NMR,1
1d3z,prot,NMR,1
1d4b,prot,NMR,1
1d4u,prot,NMR,1
1d5g,prot,NMR,1
1d5q,prot,NMR,1
1d5v,prot,NMR,1
1d6b,prot,NMR,1
1d6g,prot,NMR,1
1d6t,prot,NMR,1
1d6x,prot,NMR,1
1d7n,prot,NMR,1
1d7q,prot,NMR,1
1d7t,prot,NMR,1
1d8b,prot,NMR,1
1d8j,prot,NMR,1
1d8k,prot,NMR,1
1d8v,prot,NMR,1
1d8z,prot,NMR,1
1d9a,prot,NMR,1
1d9j,prot,NMR,1
1d9l,prot,NMR,1
1d9m,prot,NMR,1
1d9n,prot,NMR,1
1d9o,prot,NMR,1
1d9p,prot,NMR,1
1d9s,prot,NMR,1
1daq,prot,NMR,1
1dav,prot,NMR,1
1dax,prot,NMR,1
1dbd,prot,NMR,1
1dby,prot,NMR,1
1dc2,prot,NMR,1
1dc7,prot,NMR,1
1dc8,prot,NMR,1
1dcj,prot,NMR,1
1dcz,prot,NMR,1
1dd2,prot,NMR,1
1ddb,prot,NMR,1
1ddf,prot,NMR,1
1ddm,prot,NMR,1
1de1,prot,NMR,1
1de2,prot,NMR,1
1de3,prot,NMR,1
1dec,prot,NMR,1
1def,prot,NMR,1
1dem,prot,NMR,1
1den,prot,NMR,1
1dep,prot,NMR,1
1df3,prot,NMR,1
1df6,prot,NMR,1
1dfd,prot,NMR,1
1dfe,prot,NMR,1
1dfs,prot,NMR,1
1dft,prot,NMR,1
1dfy,prot,NMR,1
1dfz,prot,NMR,1
1dg0,prot,NMR,1
1dg2,prot,NMR,1
1dg4,prot,NMR,1
1dgn,prot,NMR,1
1dgq,prot,NMR,1
1dgu,prot,NMR,1
1dgv,prot,NMR,1
1dgz,prot,NMR,1
1dhm,prot,NMR,1
1dip,prot,NMR,1
1dis,prot,NMR,1
1diu,prot,NMR,1
1djf,prot,NMR,1
1djm,prot,NMR,1
1dk2,prot,NMR,1
1dk3,prot,NMR,1
1dkc,prot,NMR,1
1dl0,prot,NMR,1
1dl6,prot,NMR,1
1dlz,prot,NMR,1
1dmc,prot,NMR,1
1dmd,prot,NMR,1
1dme,prot,NMR,1
1dmf,prot,NMR,1
1dmo,prot,NMR,1
1dmz,prot,NMR,1
1dn3,prot,NMR,1
1dng,prot,NMR,1
1dny,prot,NMR,1
1do9,prot,NMR,1
1dom,prot,NMR,1
1don,prot,NMR,1
1doq,prot,NMR,1
1dox,prot,NMR,1
1doy,prot,NMR,1
1dp3,prot,NMR,1
1dpk,prot,NMR,1
1dpq,prot,NMR,1
1dpu,prot,NMR,1
1dqb,prot,NMR,1
1dqc,prot,NMR,1
1dro,prot,NMR,1
1drs,prot,NMR,1
1ds9,prot,NMR,1
1dsj,prot,NMR,1
1dsk,prot,NMR,1
1dsq,prot,NMR,1
1dsr,prot,NMR,1
1dsv,prot,NMR,1
1dsw,prot,NMR,1
1dt7,prot,NMR,1
1dtc,prot,NMR,1
1dtk,prot,NMR,1
1dtv,prot,NMR,1
1du1,prot,NMR,1
1du2,prot,NMR,1
1du6,prot,NMR,1
1du9,prot,NMR,1
1duj,prot,NMR,1
1dum,prot,NMR,1
1dv0,prot,NMR,1
1dv5,prot,NMR,1
1dv9,prot,NMR,1
1dvc,prot,NMR,1
1dvd,prot,NMR,1
1dvh,prot,NMR,1
1dvv,prot,NMR,1
1dvw,prot,NMR,1
1dw4,prot,NMR,1
1dw5,prot,NMR,1
1dwl,prot,NMR,1
1dwm,prot,NMR,1
1dwy,prot,NMR,1
1dwz,prot,NMR,1
1dx0,prot,NMR,1
1dx1,prot,NMR,1
1dx7,prot,NMR,1
1dx8,prot,NMR,1
1dxw,prot,NMR,1
1dxz,prot,NMR,1
1dz1,prot,NMR,1
1dz7,prot,NMR,1
1dzc,prot,NMR,1
1dzd,prot,NMR,1
1e08,prot,NMR,1
1e09,prot,NMR,1
1e0a,prot,NMR,1
1e0e,prot,NMR,1
1e0g,prot,NMR,1
1e0h,prot,NMR,1
1e0l,prot,NMR,1
1e0m,prot,NMR,1
1e0n,prot,NMR,1
1e0q,prot,NMR,1
1e0z,prot,NMR,1
1e10,prot,NMR,1
1e17,prot,NMR,1
1e1g,prot,NMR,1
1e1j,prot,NMR,1
1e1p,prot,NMR,1
1e1s,prot,NMR,1
1e1u,prot,NMR,1
1e1w,prot,NMR,1
1e2b,prot,NMR,1
1e3t,prot,NMR,1
1e3y,prot,NMR,1
1e41,prot,NMR,1
1e4q,prot,NMR,1
1e4r,prot,NMR,1
1e4s,prot,NMR,1
1e4t,prot,NMR,1
1e4u,prot,NMR,1
1e52,prot,NMR,1
1e5b,prot,NMR,1
1e5c,prot,NMR,1
1e5g,prot,NMR,1
1e5u,prot,NMR,1
1e68,prot,NMR,1
1e74,prot,NMR,1
1e75,prot,NMR,1
1e76,prot,NMR,1
1e88,prot,NMR,1
1e8b,prot,NMR,1
1e8e,prot,NMR,1
1e8j,prot,NMR,1
1e8l,prot,NMR,1
1e8p,prot,NMR,1
1e8q,prot,NMR,1
1e8r,prot,NMR,1
1e91,prot,NMR,1
1e9j,prot,NMR,1
1e9k,prot,NMR,1
1e9t,prot,NMR,1
1eal,prot,NMR,1
1eci,prot,NMR,1
1ed0,prot,NMR,1
1ed7,prot,NMR,1
1edi,prot,NMR,1
1edj,prot,NMR,1
1edk,prot,NMR,1
1edl,prot,NMR,1
1edp,prot,NMR,1
1eds,prot,NMR,1
1edv,prot,NMR,1
1edw,prot,NMR,1
1edx,prot,NMR,1
1ee7,prot,NMR,1
1ees,prot,NMR,1
1ef4,prot,NMR,1
1ef5,prot,NMR,1
1efe,prot,NMR,1
1egf,prot,NMR,1
1egl,prot,NMR,1
1ego,prot,NMR,1
1egr,prot,NMR,1
1egs,prot,NMR,1
1egt,prot,NMR,1
1egx,prot,NMR,1
1eh2,prot,NMR,1
1ehj,prot,NMR,1
1ehs,prot,NMR,1
1ehx,prot,NMR,1
1ei0,prot,NMR,1
1eig,prot,NMR,1
1eih,prot,NMR,1
1eii,prot,NMR,1
1eij,prot,NMR,1
1eik,prot,NMR,1
1eio,prot,NMR,1
1eit,prot,NMR,1
1eiw,prot,NMR,1
1ej5,prot,NMR,1
1ejp,prot,NMR,1
1ejq,prot,NMR,1
1eky,prot,NMR,1
1el0,prot,NMR,1
1emn,prot,NMR,1
1emo,prot,NMR,1
1emw,prot,NMR,1
1emx,prot,NMR,1
1emz,prot,NMR,1
1enw,prot,NMR,1
1eo0,prot,NMR,1
1eo1,prot,NMR,1
1eoq,prot,NMR,1
1eot,prot,NMR,1
1epg,prot,NMR,1
1eph,prot,NMR,1
1epi,prot,NMR,1
1epj,prot,NMR,1
1eq0,prot,NMR,1
1eq1,prot,NMR,1
1eq3,prot,NMR,1
1eq8,prot,NMR,1
1eqk,prot,NMR,1
1eqx,prot,NMR,1
1era,prot,NMR,1
1erc,prot,NMR,1
1erd,prot,NMR,1
1erg,prot,NMR,1
1erh,prot,NMR,1
1erp,prot,NMR,1
1ery,prot,NMR,1
1esk,prot,NMR,1
1esx,prot,NMR,1
1eub,prot,NMR,1
1ev0,prot,NMR,1
1eva,prot,NMR,1
1evb,prot,NMR,1
1evc,prot,NMR,1
1evd,prot,NMR,1
1ewi,prot,NMR,1
1ews,prot,NMR,1
1eww,prot,NMR,1
1exe,prot,NMR,1
1exg,prot,NMR,1
1exh,prot,NMR,1
1exk,prot,NMR,1
1ey1,prot,NMR,1
1eyf,prot,NMR,1
1eyo,prot,NMR,1
1eza,prot,NMR,1
1ezb,prot,NMR,1
1ezc,prot,NMR,1
1ezd,prot,NMR,1
1eze,prot,NMR,1
1ezo,prot,NMR,1
1ezp,prot,NMR,1
1ezt,prot,NMR,1
1ezy,prot,NMR,1
1f03,prot,NMR,1
1f04,prot,NMR,1
1f0d,prot,NMR,1
1f0e,prot,NMR,1
1f0f,prot,NMR,1
1f0g,prot,NMR,1
1f0h,prot,NMR,1
1f0z,prot,NMR,1
1f16,prot,NMR,1
1f22,prot,NMR,1
1f2g,prot,NMR,1
1f2h,prot,NMR,1
1f2r,prot,NMR,1
1f3c,prot,NMR,1
1f3k,prot,NMR,1
1f3r,prot,NMR,1
1f3y,prot,NMR,1
1f40,prot,NMR,1
1f43,prot,NMR,1
1f4i,prot,NMR,1
1f53,prot,NMR,1
1f54,prot,NMR,1
1f55,prot,NMR,1
1f5x,prot,NMR,1
1f5y,prot,NMR,1
1f62,prot,NMR,1
1f68,prot,NMR,1
1f6g,prot,NMR,1
1f6v,prot,NMR,1
1f70,prot,NMR,1
1f71,prot,NMR,1
1f7e,prot,NMR,1
1f7m,prot,NMR,1
1f7w,prot,NMR,1
1f7x,prot,NMR,1
1f81,prot,NMR,1
1f8h,prot,NMR,1
1f8p,prot,NMR,1
1f8z,prot,NMR,1
1f95,prot,NMR,1
1f96,prot,NMR,1
1f9x,prot,NMR,1
1fa3,prot,NMR,1
1fa4,prot,NMR,1
1fac,prot,NMR,1
1fad,prot,NMR,1
1faf,prot,NMR,1
1faq,prot,NMR,1
1far,prot,NMR,1
1fb9,prot,NMR,1
1fbr,prot,NMR,1
1fcl,prot,NMR,1
1fct,prot,NMR,1
1fd6,prot,NMR,1
1fd8,prot,NMR,1
1fdf,prot,NMR,1
1fdm,prot,NMR,1
1feo,prot,NMR,1
1fes,prot,NMR,1
1fex,prot,NMR,1
1ff1,prot,NMR,1
1ff7,prot,NMR,1
1ffj,prot,NMR,1
1ffm,prot,NMR,1
1fgd,prot,NMR,1
1fge,prot,NMR,1
1fgp,prot,NMR,1
1fh1,prot,NMR,1
1fh3,prot,NMR,1
1fhb,prot,NMR,1
1fho,prot,NMR,1
1fhq,prot,NMR,1
1fhr,prot,NMR,1
1fhs,prot,NMR,1
1fht,prot,NMR,1
1fi0,prot,NMR,1
1fi3,prot,NMR,1
1fi5,prot,NMR,1
1fi6,prot,NMR,1
1fi7,prot,NMR,1
1fi9,prot,NMR,1
1fj7,prot,NMR,1
1fjc,prot,NMR,1
1fjd,prot,NMR,1
1fjk,prot,NMR,1
1fjn,prot,NMR,1
1fjp,prot,NMR,1
1fkc,prot,NMR,1
1fkr,prot,NMR,1
1fks,prot,NMR,1
1fkt,prot,NMR,1
1fli,prot,NMR,1
1fls,prot,NMR,1
1fm1,prot,NMR,1
1fme,prot,NMR,1
1fmf,prot,NMR,1
1fmh,prot,NMR,1
1fmm,prot,NMR,1
1fmy,prot,NMR,1
1fo5,prot,NMR,1
1fo7,prot,NMR,1
1fov,prot,NMR,1
1fow,prot,NMR,1
1fox,prot,NMR,1
1foy,prot,NMR,1
1foz,prot,NMR,1
1fp0,prot,NMR,1
1fpw,prot,NMR,1
1fqq,prot,NMR,1
1fr0,prot,NMR,1
1fra,prot,NMR,1
1fre,prot,NMR,1
1fry,prot,NMR,1
1fsb,prot,NMR,1
1fsd,prot,NMR,1
1fsh,prot,NMR,1
1fsp,prot,NMR,1
1fsv,prot,NMR,1
1ftt,prot,NMR,1
1ftz,prot,NMR,1
1fu3,prot,NMR,1
1fu5,prot,NMR,1
1fu6,prot,NMR,1
1fu9,prot,NMR,1
1ful,prot,NMR,1
1fuv,prot,NMR,1
1fuw,prot,NMR,1
1fv5,prot,NMR,1
1fvl,prot,NMR,1
1fvn,prot,NMR,1
1fvq,prot,NMR,1
1fvs,prot,NMR,1
1fvy,prot,NMR,1
1fw5,prot,NMR,1
1fw7,prot,NMR,1
1fwo,prot,NMR,1
1fwp,prot,NMR,1
1fwq,prot,NMR,1
1fxt,prot,NMR,1
1fyb,prot,NMR,1
1fyc,prot,NMR,1
1fyg,prot,NMR,1
1fyj,prot,NMR,1
1fzt,prot,NMR,1
1g03,prot,NMR,1
1g04,prot,NMR,1
1g10,prot,NMR,1
1g11,prot,NMR,1
1g1e,prot,NMR,1
1g1p,prot,NMR,1
1g1z,prot,NMR,1
1g25,prot,NMR,1
1g26,prot,NMR,1
1g2g,prot,NMR,1
1g2h,prot,NMR,1
1g2s,prot,NMR,1
1g2t,prot,NMR,1
1g3f,prot,NMR,1
1g3g,prot,NMR,1
1g47,prot,NMR,1
1g4f,prot,NMR,1
1g4g,prot,NMR,1
1g5j,prot,NMR,1
1g5m,prot,NMR,1
1g5v,prot,NMR,1
1g5w,prot,NMR,1
1g6e,prot,NMR,1
1g6j,prot,NMR,1
1g6m,prot,NMR,1
1g6p,prot,NMR,1
1g6z,prot,NMR,1
1g7d,prot,NMR,1
1g7e,prot,NMR,1
1g7o,prot,NMR,1
1g84,prot,NMR,1
1g89,prot,NMR,1
1g8c,prot,NMR,1
1g90,prot,NMR,1
1g91,prot,NMR,1
1g92,prot,NMR,1
1g9e,prot,NMR,1
1g9l,prot,NMR,1
1g9p,prot,NMR,1
1ga3,prot,NMR,1
1gab,prot,NMR,1
1gac,prot,NMR,1
1gb1,prot,NMR,1
1gb4,prot,NMR,1
1gbq,prot,NMR,1
1gbr,prot,NMR,1
1gcf,prot,NMR,1
1gd3,prot,NMR,1
1gd4,prot,NMR,1
1gd5,prot,NMR,1
1gdc,prot,NMR,1
1gdf,prot,NMR,1
1ge9,prot,NMR,1
1gea,prot,NMR,1
1gfc,prot,NMR,1
1gfd,prot,NMR,1
1ggr,prot,NMR,1
1ggw,prot,NMR,1
1gh1,prot,NMR,1
1gh5,prot,NMR,1
1gh8,prot,NMR,1
1gh9,prot,NMR,1
1ghc,prot,NMR,1
1ghh,prot,NMR,1
1ghj,prot,NMR,1
1ghk,prot,NMR,1
1ght,prot,NMR,1
1ghu,prot,NMR,1
1gib,prot,NMR,1
1gio,prot,NMR,1
1giw,prot,NMR,1
1gje,prot,NMR,1
1gjf,prot,NMR,1
1gjg,prot,NMR,1
1gjh,prot,NMR,1
1gjj,prot,NMR,1
1gjs,prot,NMR,1
1gjt,prot,NMR,1
1gjx,prot,NMR,1
1gjz,prot,NMR,1
1gk5,prot,NMR,1
1gkg,prot,NMR,1
1gkn,prot,NMR,1
1gks,prot,NMR,1
1gl5,prot,NMR,1
1gl8,prot,NMR,1
1gm0,prot,NMR,1
1gm1,prot,NMR,1
1gm2,prot,NMR,1
1gna,prot,NMR,1
1gnb,prot,NMR,1
1gnc,prot,NMR,1
1gnf,prot,NMR,1
